protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.05,circuit1864.qasm,1,1,1,✓,69
FK12,malicious,0.05,circuit8389.qasm,2,0,0,✓,36
FK12,malicious,0.05,circuit3387.qasm,0,1,1,✓,63
FK12,malicious,0.1,circuit3783.qasm,6,1,1,✓,66
FK12,malicious,0.1,circuit0427.qasm,3,0,0,✓,36
FK12,malicious,0.1,circuit0581.qasm,5,1,1,✓,67
FK12,malicious,0.05,circuit0126.qasm,0,0,0,✓,33
FK12,malicious,0.1,circuit2471.qasm,6,0,0,✓,39
FK12,malicious,0.05,circuit4871.qasm,2,1,1,✓,71
FK12,malicious,0.1,circuit0086.qasm,3,0,0,✓,38
FK12,malicious,0.05,circuit2264.qasm,1,0,0,✓,30
FK12,malicious,0.05,circuit4002.qasm,1,1,1,✓,64
FK12,malicious,0.05,circuit4611.qasm,2,0,0,✓,34
FK12,malicious,0.05,circuit2696.qasm,3,1,1,✓,68
FK12,malicious,0.1,circuit4909.qasm,4,0,0,✓,35
FK12,malicious,0,circuit9081.qasm,0,1,1,✓,68
FK12,malicious,0.05,circuit7242.qasm,1,1,1,✓,64
FK12,malicious,0.05,circuit0302.qasm,0,1,1,✓,62
FK12,malicious,0.05,circuit5607.qasm,1,1,1,✓,70
FK12,malicious,0.05,circuit0905.qasm,3,1,1,✓,62
FK12,malicious,0,circuit8725.qasm,0,0,0,✓,28
FK12,malicious,0.1,circuit0302.qasm,5,1,1,✓,50
FK12,malicious,0,circuit8433.qasm,0,0,0,✓,31
FK12,malicious,0.05,circuit1480.qasm,2,1,1,✓,61
FK12,malicious,0.05,circuit6124.qasm,1,0,0,✓,39
FK12,malicious,0,circuit7197.qasm,0,1,1,✓,68
FK12,malicious,0.1,circuit4611.qasm,7,0,0,✓,27
FK12,malicious,0.1,circuit5607.qasm,5,1,1,✓,61
FK12,malicious,0,circuit6104.qasm,0,0,0,✓,40
FK12,malicious,0.1,circuit0126.qasm,6,0,0,✓,34
FK12,malicious,0.1,circuit8043.qasm,4,0,0,✓,40
FK12,malicious,0.05,circuit5613.qasm,1,0,0,✓,44
FK12,malicious,0.1,circuit1480.qasm,6,1,1,✓,67
FK12,malicious,0.1,circuit4002.qasm,4,1,1,✓,67
FK12,malicious,0,circuit5432.qasm,0,0,0,✓,30
FK12,malicious,0.1,circuit4871.qasm,5,1,1,✓,66
FK12,malicious,0.1,circuit6663.qasm,6,0,0,✓,38
FK12,malicious,0.1,circuit0730.qasm,5,1,1,✓,57
FK12,malicious,0.1,circuit7085.qasm,5,0,0,✓,32
FK12,malicious,0.05,circuit4909.qasm,4,0,0,✓,40
FK12,malicious,0.1,circuit1864.qasm,3,1,1,✓,67
FK12,malicious,0.05,circuit3647.qasm,1,1,1,✓,62
FK12,malicious,0.05,circuit2471.qasm,1,0,0,✓,36
FK12,malicious,0.05,circuit3783.qasm,0,1,1,✓,69
FK12,malicious,0.05,circuit0571.qasm,1,0,0,✓,40
FK12,malicious,0.1,circuit7242.qasm,3,1,1,✓,60
FK12,malicious,0.1,circuit3387.qasm,4,1,1,✓,66
FK12,malicious,0.05,circuit3669.qasm,1,0,0,✓,36
FK12,malicious,0.1,circuit6124.qasm,5,0,0,✓,38
FK12,malicious,0.05,circuit2587.qasm,3,1,1,✓,66
FK12,malicious,0.05,circuit9367.qasm,3,1,1,✓,63
FK12,malicious,0.1,circuit2419.qasm,3,1,1,✓,50
FK12,malicious,0.05,circuit0086.qasm,1,0,0,✓,34
FK12,malicious,0.1,circuit9638.qasm,6,1,0,✗,50
FK12,malicious,0.1,circuit5613.qasm,3,0,0,✓,40
FK12,malicious,0.1,circuit4932.qasm,2,1,1,✓,61
FK12,malicious,0.1,circuit3840.qasm,7,0,0,✓,33
FK12,malicious,0.1,circuit2017.qasm,3,1,1,✓,64
FK12,malicious,0.1,circuit8556.qasm,4,0,0,✓,31
FK12,malicious,0.1,circuit3647.qasm,3,1,1,✓,53
FK12,malicious,0.1,circuit3751.qasm,5,1,1,✓,58
FK12,malicious,0.1,circuit9367.qasm,3,1,1,✓,62
FK12,malicious,0,circuit4611.qasm,0,0,0,✓,35
FK12,malicious,0.1,circuit0571.qasm,0,0,0,✓,39
FK12,malicious,0,circuit0302.qasm,0,1,1,✓,61
FK12,malicious,0.1,circuit3669.qasm,2,0,0,✓,24
FK12,malicious,0,circuit0255.qasm,0,0,0,✓,40
FK12,malicious,0,circuit4002.qasm,0,1,1,✓,66
FK12,malicious,0,circuit5607.qasm,0,1,1,✓,76
FK12,malicious,0,circuit1864.qasm,0,1,1,✓,67
FK12,malicious,0,circuit0126.qasm,0,0,0,✓,36
FK12,malicious,0.1,circuit2587.qasm,5,1,1,✓,58
FK12,malicious,0,circuit2264.qasm,0,0,0,✓,38
FK12,malicious,0,circuit0730.qasm,0,1,1,✓,59
FK12,malicious,0,circuit6124.qasm,0,0,0,✓,34
FK12,malicious,0,circuit2419.qasm,0,1,1,✓,58
FK12,malicious,0,circuit0905.qasm,0,1,1,✓,74
FK12,malicious,0.05,circuit3751.qasm,1,1,1,✓,60
FK12,malicious,0.05,circuit9638.qasm,2,0,0,✓,29
FK12,malicious,0.05,circuit2017.qasm,4,1,1,✓,64
FK12,malicious,0.05,circuit8556.qasm,2,0,0,✓,30
FK12,malicious,0.05,circuit0427.qasm,0,0,0,✓,43
FK12,malicious,0.05,circuit8725.qasm,0,0,0,✓,22
FK12,malicious,0.05,circuit8433.qasm,2,0,0,✓,39
FK12,malicious,0.05,circuit0581.qasm,1,1,1,✓,73
FK12,malicious,0,circuit5028.qasm,0,0,0,✓,35
FK12,malicious,0,circuit2715.qasm,0,0,0,✓,41
FK12,malicious,0,circuit3047.qasm,0,1,1,✓,70
FK12,malicious,0,circuit7799.qasm,0,0,0,✓,36
FK12,malicious,0,circuit2886.qasm,0,1,1,✓,68
FK12,malicious,0,circuit7242.qasm,0,1,1,✓,60
FK12,malicious,0,circuit2971.qasm,0,1,1,✓,77
FK12,malicious,0,circuit8100.qasm,0,0,0,✓,37
FK12,malicious,0,circuit3387.qasm,0,1,1,✓,72
FK12,malicious,0,circuit7085.qasm,0,0,0,✓,33
FK12,malicious,0,circuit8043.qasm,0,0,0,✓,35
FK12,malicious,0,circuit3589.qasm,0,0,0,✓,32
FK12,malicious,0,circuit0742.qasm,0,1,1,✓,65
FK12,malicious,0,circuit6734.qasm,0,1,1,✓,60
FK12,malicious,0,circuit5383.qasm,0,0,0,✓,38
FK12,malicious,0,circuit5296.qasm,0,1,1,✓,65
FK12,malicious,0,circuit8891.qasm,0,0,0,✓,39
FK12,malicious,0,circuit1737.qasm,0,1,1,✓,64
FK12,malicious,0,circuit9107.qasm,0,0,0,✓,33
FK12,malicious,0,circuit7077.qasm,0,1,1,✓,59
FK12,malicious,0,circuit4079.qasm,0,1,0,✗,51
FK12,malicious,0,circuit8232.qasm,0,0,0,✓,35
FK12,malicious,0.1,circuit6067.qasm,3,1,1,✓,63
FK12,malicious,0.1,circuit8253.qasm,4,1,1,✓,60
FK12,malicious,0.15,circuit6547.qasm,3,0,0,✓,32
FK12,malicious,0.15,circuit2696.qasm,4,1,1,✓,64
FK12,malicious,0.15,circuit8232.qasm,7,0,0,✓,37
FK12,malicious,0.15,circuit6388.qasm,8,1,0,✗,52
FK12,malicious,0.15,circuit9107.qasm,5,0,0,✓,47
FK12,malicious,0.15,circuit4079.qasm,8,0,0,✓,44
FK12,malicious,0.15,circuit4871.qasm,7,1,1,✓,59
FK12,malicious,0.15,circuit8380.qasm,11,0,0,✓,43
FK12,malicious,0.15,circuit2264.qasm,9,0,0,✓,34
FK12,malicious,0.15,circuit7077.qasm,9,1,1,✓,63
FK12,malicious,0,circuit4099.qasm,0,1,1,✓,74
FK12,malicious,0.1,circuit4079.qasm,7,0,0,✓,38
FK12,malicious,0,circuit3498.qasm,0,0,0,✓,43
FK12,malicious,0.05,circuit8579.qasm,2,1,1,✓,65
FK12,malicious,0,circuit8242.qasm,0,1,1,✓,58
FK12,malicious,0,circuit4708.qasm,0,1,1,✓,71
FK12,malicious,0.05,circuit2424.qasm,4,1,1,✓,64
FK12,malicious,0,circuit0662.qasm,0,0,0,✓,36
FK12,malicious,0.05,circuit9803.qasm,3,0,0,✓,49
FK12,malicious,0.1,circuit8232.qasm,5,0,0,✓,32
FK12,malicious,0,circuit8036.qasm,0,1,1,✓,59
FK12,malicious,0,circuit9451.qasm,0,1,1,✓,57
FK12,malicious,0,circuit9803.qasm,0,0,0,✓,33
FK12,malicious,0,circuit8579.qasm,0,1,1,✓,61
FK12,malicious,0.05,circuit8232.qasm,0,0,0,✓,38
FK12,malicious,0.1,circuit8380.qasm,1,0,0,✓,41
FK12,malicious,0.1,circuit9107.qasm,6,0,0,✓,39
FK12,malicious,0.05,circuit4079.qasm,2,0,0,✓,37
FK12,malicious,0,circuit6474.qasm,0,1,1,✓,65
FK12,malicious,0.05,circuit5516.qasm,2,0,0,✓,33
FK12,malicious,0.05,circuit8326.qasm,5,0,0,✓,38
FK12,malicious,0.05,circuit1665.qasm,1,0,0,✓,42
FK12,malicious,0.05,circuit6734.qasm,2,1,1,✓,67
FK12,malicious,0.05,circuit7947.qasm,2,1,1,✓,70
FK12,malicious,0.05,circuit2886.qasm,1,1,1,✓,68
FK12,malicious,0.1,circuit6424.qasm,1,0,0,✓,44
FK12,malicious,0.05,circuit6067.qasm,2,1,1,✓,63
FK12,malicious,0.1,circuit0499.qasm,8,1,1,✓,64
FK12,malicious,0.05,circuit4703.qasm,2,1,1,✓,58
FK12,malicious,0.05,circuit9678.qasm,2,1,1,✓,69
FK12,malicious,0.05,circuit6474.qasm,0,1,1,✓,68
FK12,malicious,0.05,circuit3047.qasm,1,1,1,✓,62
FK12,malicious,0.05,circuit5104.qasm,0,1,1,✓,64
FK12,malicious,0.05,circuit9451.qasm,1,1,1,✓,58
FK12,malicious,0.05,circuit5565.qasm,2,1,1,✓,65
FK12,malicious,0.05,circuit9611.qasm,1,1,1,✓,62
FK12,malicious,0.05,circuit7077.qasm,1,1,1,✓,62
FK12,malicious,0.05,circuit2244.qasm,0,1,1,✓,65
FK12,malicious,0.05,circuit8380.qasm,2,0,0,✓,34
FK12,malicious,0.15,circuit4002.qasm,5,1,1,✓,70
FK12,malicious,0.05,circuit5679.qasm,2,1,1,✓,53
FK12,malicious,0.05,circuit6691.qasm,0,1,1,✓,63
FK12,malicious,0.05,circuit9107.qasm,2,0,0,✓,44
FK12,malicious,0.1,circuit8036.qasm,4,1,1,✓,56
FK12,malicious,0.1,circuit4099.qasm,3,1,1,✓,61
FK12,malicious,0.1,circuit0662.qasm,3,0,0,✓,36
FK12,malicious,0.1,circuit8242.qasm,1,1,1,✓,64
FK12,malicious,0.1,circuit3498.qasm,3,0,0,✓,45
FK12,malicious,0.1,circuit4708.qasm,3,1,1,✓,61
FK12,malicious,0,circuit2424.qasm,0,1,1,✓,72
FK12,malicious,0.05,circuit7101.qasm,0,1,1,✓,65
FK12,malicious,0.05,circuit7587.qasm,1,1,1,✓,65
FK12,malicious,0.05,circuit8253.qasm,0,1,1,✓,70
FK12,malicious,0.15,circuit6691.qasm,6,1,1,✓,64
FK12,malicious,0,circuit0499.qasm,0,1,1,✓,72
FK12,malicious,0.05,circuit3191.qasm,0,1,1,✓,61
FK12,malicious,0,circuit6424.qasm,0,0,0,✓,36
FK12,malicious,0.1,circuit7587.qasm,4,1,1,✓,67
FK12,malicious,0,circuit5104.qasm,0,1,1,✓,71
FK12,malicious,0.05,circuit2343.qasm,5,0,0,✓,49
FK12,malicious,0.05,circuit2715.qasm,4,1,0,✗,54
FK12,malicious,0.1,circuit5679.qasm,3,1,1,✓,55
FK12,malicious,0,circuit1665.qasm,0,0,0,✓,43
FK12,malicious,0.1,circuit3191.qasm,2,1,1,✓,60
FK12,malicious,0.1,circuit9611.qasm,4,1,1,✓,66
FK12,malicious,0.1,circuit7947.qasm,4,1,1,✓,62
FK12,malicious,0.1,circuit7077.qasm,4,1,1,✓,61
FK12,malicious,0,circuit5516.qasm,0,0,0,✓,32
FK12,malicious,0.1,circuit6691.qasm,6,1,1,✓,64
FK12,malicious,0.05,circuit1737.qasm,0,1,1,✓,66
FK12,malicious,0.1,circuit2715.qasm,3,0,0,✓,43
FK12,malicious,0.1,circuit9678.qasm,6,1,1,✓,63
FK12,malicious,0.1,circuit8326.qasm,3,0,0,✓,47
FK12,malicious,0.1,circuit2886.qasm,3,1,1,✓,70
FK12,malicious,0.1,circuit5565.qasm,5,1,1,✓,62
FK12,malicious,0.05,circuit3498.qasm,3,0,0,✓,44
FK12,malicious,0.05,circuit4708.qasm,3,1,1,✓,59
FK12,malicious,0.05,circuit2971.qasm,3,1,1,✓,74
FK12,malicious,0.1,circuit2244.qasm,4,1,1,✓,63
FK12,malicious,0.05,circuit3589.qasm,2,0,0,✓,34
FK12,malicious,0.05,circuit4099.qasm,0,1,1,✓,63
FK12,malicious,0.1,circuit7101.qasm,1,1,1,✓,67
FK12,malicious,0.05,circuit8891.qasm,4,0,0,✓,38
FK12,malicious,0.1,circuit2343.qasm,5,0,0,✓,40
FK12,malicious,0.05,circuit5028.qasm,0,0,0,✓,40
FK12,malicious,0.1,circuit4703.qasm,4,1,1,✓,70
FK12,malicious,0.05,circuit0742.qasm,4,1,1,✓,60
FK12,malicious,0.05,circuit8242.qasm,2,1,1,✓,61
FK12,malicious,0.1,circuit5432.qasm,3,0,0,✓,35
FK12,malicious,0.1,circuit2204.qasm,5,0,0,✓,36
FK12,malicious,0.1,circuit9081.qasm,6,1,1,✓,64
FK12,malicious,0.1,circuit5296.qasm,8,1,1,✓,59
FK12,malicious,0.1,circuit1737.qasm,8,1,1,✓,67
FK12,malicious,0.1,circuit8389.qasm,5,0,0,✓,42
FK12,malicious,0.1,circuit6104.qasm,4,0,0,✓,37
FK12,malicious,0.1,circuit3047.qasm,6,1,1,✓,62
FK12,malicious,0.1,circuit7197.qasm,4,1,1,✓,65
FK12,malicious,0.1,circuit6734.qasm,6,1,1,✓,56
FK12,malicious,0.1,circuit8100.qasm,5,0,0,✓,34
FK12,malicious,0.1,circuit7799.qasm,4,0,0,✓,42
FK12,malicious,0.1,circuit2971.qasm,4,1,1,✓,60
FK12,malicious,0.1,circuit5383.qasm,7,0,0,✓,36
FK12,malicious,0.1,circuit3589.qasm,6,0,0,✓,36
FK12,malicious,0.15,circuit0126.qasm,6,0,0,✓,31
FK12,malicious,0.1,circuit5028.qasm,4,0,0,✓,38
FK12,malicious,0,circuit7587.qasm,0,1,1,✓,74
FK12,malicious,0.1,circuit8753.qasm,3,0,0,✓,38
FK12,malicious,0,circuit5679.qasm,0,1,1,✓,57
FK12,malicious,0.1,circuit8024.qasm,3,1,1,✓,57
FK12,malicious,0.1,circuit8891.qasm,4,0,0,✓,32
FK12,malicious,0,circuit3191.qasm,0,1,1,✓,63
FK12,malicious,0,circuit6691.qasm,0,1,1,✓,71
FK12,malicious,0,circuit5565.qasm,0,1,1,✓,62
FK12,malicious,0,circuit8380.qasm,0,0,0,✓,37
FK12,malicious,0,circuit8326.qasm,0,0,0,✓,38
FK12,malicious,0,circuit9611.qasm,0,1,1,✓,58
FK12,malicious,0,circuit6067.qasm,0,1,1,✓,69
FK12,malicious,0,circuit4703.qasm,0,1,1,✓,67
FK12,malicious,0.1,circuit0742.qasm,6,1,1,✓,57
FK12,malicious,0,circuit2343.qasm,0,0,0,✓,41
FK12,malicious,0,circuit8253.qasm,0,1,1,✓,64
FK12,malicious,0.05,circuit5296.qasm,1,1,1,✓,57
FK12,malicious,0.05,circuit5383.qasm,2,0,0,✓,38
FK12,malicious,0.05,circuit8100.qasm,2,0,0,✓,41
FK12,malicious,0.05,circuit0662.qasm,3,0,0,✓,38
FK12,malicious,0.05,circuit7799.qasm,2,0,0,✓,47
FK12,malicious,0.15,circuit9611.qasm,6,1,1,✓,61
FK12,malicious,0.05,circuit0499.qasm,2,1,1,✓,71
FK12,malicious,0.05,circuit8036.qasm,0,1,1,✓,64
FK12,malicious,0.05,circuit6424.qasm,3,0,0,✓,36
FK12,malicious,0.15,circuit4611.qasm,4,0,0,✓,36
FK12,malicious,0.15,circuit5679.qasm,5,1,1,✓,58
FK12,malicious,0.15,circuit3191.qasm,6,1,1,✓,55
FK12,malicious,0.15,circuit5607.qasm,5,1,1,✓,60
FK12,malicious,0.2,circuit2886.qasm,11,1,1,✓,67
FK12,malicious,0.2,circuit6663.qasm,7,1,0,✗,50
FK12,malicious,0.15,circuit0302.qasm,2,1,1,✓,51
FK12,malicious,0.15,circuit7587.qasm,8,1,1,✓,65
FK12,malicious,0.2,circuit3387.qasm,10,1,1,✓,68
FK12,malicious,0.2,circuit3047.qasm,7,1,1,✓,58
FK12,malicious,0.2,circuit2244.qasm,7,1,1,✓,66
FK12,malicious,0.2,circuit7085.qasm,14,0,0,✓,35
FK12,malicious,0.2,circuit4932.qasm,9,1,1,✓,51
FK12,malicious,0,circuit2244.qasm,0,1,1,✓,65
FK12,malicious,0,circuit7101.qasm,0,1,1,✓,67
FK12,malicious,0,circuit9678.qasm,0,1,1,✓,69
FK12,malicious,0,circuit7947.qasm,0,1,1,✓,69
FK12,malicious,0.2,circuit8556.qasm,11,0,0,✓,40
FK12,malicious,0.2,circuit7799.qasm,8,0,0,✓,46
FK12,malicious,0.2,circuit8100.qasm,10,0,0,✓,27
FK12,malicious,0.2,circuit3751.qasm,11,1,1,✓,57
FK12,malicious,0.2,circuit5383.qasm,9,0,0,✓,38
FK12,malicious,0.15,circuit6067.qasm,7,1,1,✓,59
FK12,malicious,0.15,circuit0905.qasm,3,1,1,✓,63
FK12,malicious,0.15,circuit8253.qasm,7,1,1,✓,59
FK12,malicious,0.15,circuit0255.qasm,10,0,0,✓,36
FK12,malicious,0.15,circuit2419.qasm,5,1,1,✓,67
FK12,malicious,0.15,circuit3589.qasm,4,0,0,✓,36
FK12,malicious,0.15,circuit6124.qasm,6,0,0,✓,42
FK12,malicious,0.15,circuit5028.qasm,6,0,0,✓,34
FK12,malicious,0.15,circuit8043.qasm,9,0,0,✓,39
FK12,malicious,0.15,circuit7101.qasm,7,1,1,✓,66
FK12,malicious,0.15,circuit5565.qasm,6,1,1,✓,52
FK12,malicious,0.15,circuit8326.qasm,5,0,0,✓,39
FK12,malicious,0.15,circuit7242.qasm,6,1,1,✓,63
FK12,malicious,0.15,circuit1864.qasm,8,1,1,✓,58
FK12,malicious,0.15,circuit4703.qasm,8,1,1,✓,69
FK12,malicious,0.15,circuit2343.qasm,4,0,0,✓,44
FK12,malicious,0.15,circuit7947.qasm,10,1,1,✓,60
FK12,malicious,0.15,circuit1480.qasm,8,1,1,✓,65
FK12,malicious,0.15,circuit2971.qasm,4,1,1,✓,63
FK12,malicious,0.15,circuit0730.qasm,5,1,1,✓,53
FK12,malicious,0.15,circuit1737.qasm,3,1,1,✓,61
FK12,malicious,0.15,circuit2715.qasm,2,0,0,✓,42
FK12,malicious,0.15,circuit5613.qasm,5,0,0,✓,32
FK12,malicious,0.15,circuit6663.qasm,4,0,0,✓,36
FK12,malicious,0.15,circuit3669.qasm,6,0,0,✓,41
FK12,malicious,0.15,circuit2886.qasm,5,1,1,✓,73
FK12,malicious,0.15,circuit7085.qasm,3,0,0,✓,31
FK12,malicious,0.15,circuit2244.qasm,6,1,1,✓,56
FK12,malicious,0.15,circuit3387.qasm,7,1,1,✓,58
FK12,malicious,0.15,circuit2017.qasm,5,1,1,✓,64
FK12,malicious,0.15,circuit7799.qasm,6,0,0,✓,46
FK12,malicious,0.15,circuit9678.qasm,3,1,1,✓,64
FK12,malicious,0.15,circuit4932.qasm,5,1,1,✓,65
FK12,malicious,0.15,circuit3840.qasm,7,0,0,✓,37
FK12,malicious,0.15,circuit8100.qasm,6,0,0,✓,43
FK12,malicious,0.15,circuit6734.qasm,7,1,1,✓,63
FK12,malicious,0.15,circuit3047.qasm,3,1,1,✓,64
FK12,malicious,0.15,circuit3751.qasm,3,1,1,✓,58
FK12,malicious,0.15,circuit8556.qasm,4,0,0,✓,32
FK12,malicious,0.15,circuit9638.qasm,6,0,0,✓,43
FK12,malicious,0.15,circuit5383.qasm,8,0,0,✓,36
FK12,malicious,0.2,circuit9638.qasm,11,0,0,✓,41
FK12,malicious,0.15,circuit5296.qasm,8,1,1,✓,70
FK12,malicious,0.15,circuit0571.qasm,3,0,0,✓,40
FK12,malicious,0.2,circuit2971.qasm,5,1,1,✓,55
FK12,malicious,0.2,circuit3647.qasm,6,1,1,✓,58
FK12,malicious,0.15,circuit2587.qasm,8,1,1,✓,60
FK12,malicious,0.15,circuit0742.qasm,6,1,1,✓,60
FK12,malicious,0.15,circuit3647.qasm,7,1,1,✓,54
FK12,malicious,0.15,circuit9367.qasm,5,1,1,✓,62
FK12,malicious,0.2,circuit5613.qasm,8,0,0,✓,41
FK12,malicious,0.2,circuit3669.qasm,8,0,0,✓,39
FK12,malicious,0.15,circuit8891.qasm,5,0,0,✓,36
FK12,malicious,0.2,circuit5296.qasm,11,1,1,✓,60
FK12,malicious,0.2,circuit1737.qasm,10,1,1,✓,67
FK12,malicious,0.2,circuit8891.qasm,5,0,0,✓,38
FK12,malicious,0.15,circuit2471.qasm,10,0,0,✓,29
FK12,malicious,0.15,circuit3498.qasm,9,1,0,✗,55
FK12,malicious,0.15,circuit4099.qasm,5,1,1,✓,65
FK12,malicious,0.15,circuit3783.qasm,7,1,1,✓,63
FK12,malicious,0.15,circuit8242.qasm,5,1,1,✓,53
FK12,malicious,0.15,circuit0086.qasm,7,0,0,✓,30
FK12,malicious,0.2,circuit2471.qasm,6,0,0,✓,44
FK12,malicious,0.15,circuit0581.qasm,7,1,1,✓,62
FK12,malicious,0.15,circuit4909.qasm,7,0,0,✓,39
FK12,malicious,0.15,circuit4708.qasm,5,1,1,✓,58
FK12,malicious,0.15,circuit0427.qasm,8,0,0,✓,33
FK12,malicious,0.15,circuit6424.qasm,6,0,0,✓,42
FK12,malicious,0.15,circuit0662.qasm,8,0,0,✓,42
FK12,malicious,0.15,circuit8433.qasm,9,0,0,✓,41
FK12,malicious,0.15,circuit8036.qasm,6,1,1,✓,60
FK12,malicious,0.15,circuit1665.qasm,7,0,0,✓,42
FK12,malicious,0.15,circuit8725.qasm,6,0,0,✓,31
FK12,malicious,0.15,circuit5432.qasm,5,0,0,✓,32
FK12,malicious,0.15,circuit0499.qasm,6,1,1,✓,61
FK12,malicious,0.2,circuit3498.qasm,5,1,0,✗,55
FK12,malicious,0.15,circuit6104.qasm,4,0,0,✓,35
FK12,malicious,0.15,circuit7197.qasm,7,1,1,✓,56
FK12,malicious,0.15,circuit5104.qasm,7,1,1,✓,66
FK12,malicious,0.15,circuit2424.qasm,5,1,1,✓,71
FK12,malicious,0.2,circuit2587.qasm,8,1,1,✓,57
FK12,malicious,0.2,circuit0742.qasm,7,1,1,✓,59
FK12,malicious,0.15,circuit9081.qasm,6,1,1,✓,70
FK12,malicious,0.15,circuit9451.qasm,8,1,1,✓,52
FK12,malicious,0.15,circuit5516.qasm,4,0,0,✓,33
FK12,malicious,0.2,circuit0571.qasm,8,0,0,✓,39
FK12,malicious,0.2,circuit3783.qasm,10,1,1,✓,62
FK12,malicious,0.15,circuit6474.qasm,3,1,1,✓,63
FK12,malicious,0.15,circuit8579.qasm,9,1,1,✓,56
FK12,malicious,0.15,circuit8389.qasm,6,0,0,✓,40
FK12,malicious,0.15,circuit9803.qasm,10,0,0,✓,49
FK12,malicious,0.15,circuit2204.qasm,8,1,0,✗,50
FK12,malicious,0.2,circuit3589.qasm,9,0,0,✓,42
FK12,malicious,0.15,circuit8753.qasm,5,0,0,✓,35
FK12,malicious,0.2,circuit4099.qasm,8,1,1,✓,65
FK12,malicious,0.15,circuit8024.qasm,4,1,1,✓,57
FK12,malicious,0.2,circuit6547.qasm,9,0,0,✓,38
FK12,malicious,0.2,circuit4079.qasm,9,0,0,✓,35
FK12,malicious,0.2,circuit8232.qasm,7,0,0,✓,35
FK12,malicious,0.2,circuit2696.qasm,10,1,1,✓,65
FK12,malicious,0.2,circuit9107.qasm,6,0,0,✓,37
FK12,malicious,0.2,circuit6388.qasm,6,0,0,✓,46
FK12,malicious,0.2,circuit9367.qasm,8,1,1,✓,61
